Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C3,C_0805_2012Metric,C1525,1
10k,"R1,R2,R5",R_0805_2012Metric,C17414,3
10uF,"C1,C2,C4",C_0805_2012Metric,C440198,3
1k,R4,R_0805_2012Metric,C17513,1
27nH,L1,L_0402_1005Metric,C115488,1
2k,R3,R_0805_2012Metric,C17604,1
4.7uF,"C6,C7",C_0805_2012Metric,C1779,2
47pF,C5,C_0402_1005Metric,C1567,1
LED,D1,LED_0805_2012Metric,C34499,1
